id,label
1,1.0
2,1.0
3,0.999
4,1.0
5,1.67e-05
6,0.0001838
7,1.866e-05
8,0.0003004
9,0.0
10,0.0
11,0.003721
12,1.0
13,6.06e-05
14,0.0
15,0.0
16,3.4e-05
17,1.0
18,1.0
19,0.0
20,0.0
21,1.0
22,0.0
23,1.0
24,0.997
25,0.0
26,0.9863
27,1.0
28,0.0
29,0.04932
30,1.0
31,1.0
32,0.846
33,0.996
34,5.65e-05
35,0.0
36,0.0
37,0.0002271
38,0.0
39,0.9707
40,0.0
41,1.0
42,1.0
43,1.0
44,1.0
45,0.0
46,1.0
47,0.0
48,1.0
49,1.0
50,9.173e-05
51,2.974e-05
52,0.0
53,0.0
54,0.0
55,0.001044
56,0.999
57,1.0
58,0.0
59,1.0
60,0.00125
61,0.0
62,0.997
63,8.61e-05
64,0.0
65,1.0
66,0.995
67,1.0
68,0.0002397
69,1.0
70,1.0
71,0.996
72,1.0
73,0.999
74,1.0
75,0.000607
76,1.0
77,1.0
78,1.0
79,1.0
80,0.0
81,0.2207
82,0.0
83,1.0
84,0.0001523
85,0.999
86,0.995
87,1.0
88,1.0
89,0.0
90,0.0001881
91,3.505e-05
92,0.0
93,0.0
94,1.0
95,1.0
96,0.0
97,1.0
98,1.0
99,0.0
100,0.0005317
101,0.0
102,1.0
103,0.0
104,0.0
105,0.984
106,1.0
107,0.0
108,4.58e-05
109,0.9243
110,1.0
111,1.0
112,1.0
113,1.0
114,0.0
115,6.014e-05
116,0.0
117,0.0
118,1.0
119,1.0
120,0.002342
121,0.00347
122,0.0
123,0.0
124,4.685e-05
125,0.0001377
126,0.999
127,1.0
128,0.0
129,0.0
130,0.999
131,1.0
132,0.995
133,0.0
134,0.0
135,0.0
136,0.0
137,1.0
138,0.9624
139,0.0
140,0.0
141,0.0
142,1.0
143,1.0
144,0.0007124
145,3.296e-05
146,1.0
147,0.998
148,0.3374
149,2.28e-05
150,0.0
151,1.0
152,0.006878
153,0.0
154,0.0
155,1.0
156,0.0001454
157,0.0
158,0.996
159,1.0
160,0.9854
161,0.0
162,0.0
163,8.285e-05
164,1.0
165,0.0
166,0.0241
167,0.999
168,0.0
169,0.0
170,0.0
171,0.0001168
172,1.0
173,0.9893
174,0.0
175,1.0
176,1.0
177,1.0
178,1.0
179,0.999
180,0.0
181,1.0
182,1.0
183,0.0
184,0.001623
185,0.000253
186,0.0
187,0.0
188,0.0
